
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Total,,,,,Ciencias Sociales y Jurídicas,,,,,Ingeniería y Arquitectura,,,,,Artes y Humanidades,,,,,Ciencias de la Salud,,,,,Ciencias,,,,,
,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,
Todas las universidades,
    Total,
            Tiempo Parcial,4237.0,4766.0,5070.0,5480.0,5518.0,2195.0,2473.0,2579.0,2868.0,2883.0,766.0,932.0,1066.0,1001.0,928.0,645.0,730.0,723.0,869.0,960.0,267.0,254.0,287.0,307.0,331.0,364.0,377.0,415.0,435.0,416.0,
        Hombres,
            Total,5990.0,6495.0,6893.0,6904.0,6286.0,2780.0,3065.0,3288.0,3269.0,3091.0,1490.0,1611.0,1703.0,1595.0,1309.0,610.0,601.0,682.0,813.0,754.0,458.0,499.0,496.0,493.0,483.0,652.0,719.0,724.0,734.0,649.0,
            Tiempo Completo,4020.0,4263.0,4489.0,4399.0,3848.0,1810.0,2037.0,2200.0,2076.0,1960.0,967.0,921.0,916.0,891.0,658.0,372.0,333.0,432.0,483.0,407.0,387.0,435.0,427.0,416.0,391.0,484.0,537.0,514.0,533.0,432.0,
            Tiempo Parcial,1970.0,2232.0,2404.0,2505.0,2438.0,970.0,1028.0,1088.0,1193.0,1131.0,523.0,690.0,787.0,704.0,651.0,238.0,268.0,250.0,330.0,347.0,71.0,64.0,69.0,77.0,92.0,168.0,182.0,210.0,201.0,217.0,
        Mujeres,
            Total,7776.0,8530.0,9336.0,9411.0,8972.0,4183.0,4651.0,5064.0,5056.0,5009.0,649.0,668.0,744.0,725.0,625.0,1074.0,1194.0,1359.0,1524.0,1431.0,1203.0,1260.0,1386.0,1321.0,1201.0,667.0,757.0,783.0,785.0,706.0,
            Tiempo Completo,5509.0,5996.0,6670.0,6436.0,5892.0,2958.0,3206.0,3573.0,3381.0,3257.0,406.0,426.0,465.0,428.0,348.0,667.0,732.0,886.0,985.0,818.0,1007.0,1070.0,1168.0,1091.0,962.0,471.0,562.0,578.0,551.0,507.0,
            Tiempo Parcial,2267.0,2534.0,2666.0,2975.0,3080.0,1225.0,1445.0,1491.0,1675.0,1752.0,243.0,242.0,279.0,297.0,277.0,407.0,462.0,473.0,539.0,613.0,196.0,190.0,218.0,230.0,239.0,196.0,195.0,205.0,234.0,199.0,
Universidades Públicas Presenciales,
    Total,
        Ambos sexos,
            Total,104545.0,114242.0,122692.0,124894.0,127845.0,50467.0,55421.0,59503.0,59815.0,60920.0,23963.0,27699.0,30204.0,31289.0,32096.0,11002.0,11347.0,11790.0,12554.0,12746.0,11832.0,12173.0,13002.0,12814.0,13237.0,7281.0,7602.0,8193.0,8422.0,8846.0,
            Tiempo Completo,70516.0,75481.0,79962.0,78687.0,79911.0,35132.0,38117.0,41293.0,39352.0,40203.0,14834.0,16186.0,16759.0,17099.0,17312.0,6849.0,6913.0,7040.0,7600.0,7310.0,8243.0,8625.0,9037.0,8693.0,8924.0,5458.0,5640.0,5833.0,5943.0,6162.0,
            Tiempo Parcial,34029.0,38761.0,42730.0,46207.0,47934.0,15335.0,17304.0,18210.0,20463.0,20717.0,9129.0,11513.0,13445.0,14190.0,14784.0,4153.0,4434.0,4750.0,4954.0,5436.0,3589.0,3548.0,3965.0,4121.0,4313.0,1823.0,1962.0,2360.0,2479.0,2684.0,
        Hombres,
            Total,48346.0,53026.0,56896.0,58566.0,59315.0,20007.0,21970.0,23374.0,24036.0,23998.0,17063.0,19677.0,21363.0,22047.0,22485.0,4095.0,4149.0,4265.0,4545.0,4516.0,3465.0,3439.0,3772.0,3670.0,3856.0,3716.0,3791.0,4122.0,4268.0,4460.0,
            Tiempo Completo,32111.0,34480.0,36042.0,36063.0,36198.0,13736.0,15280.0,16230.0,15942.0,15974.0,10518.0,11391.0,11691.0,11899.0,11976.0,2589.0,2561.0,2531.0,2750.0,2533.0,2487.0,2479.0,2703.0,2514.0,2666.0,2781.0,2769.0,2887.0,2958.0,3049.0,
            Tiempo Parcial,16235.0,18546.0,20854.0,22503.0,23117.0,6271.0,6690.0,7144.0,8094.0,8024.0,6545.0,8286.0,9672.0,10148.0,10509.0,1506.0,1588.0,1734.0,1795.0,1983.0,978.0,960.0,1069.0,1156.0,1190.0,935.0,1022.0,1235.0,1310.0,1411.0,
        Mujeres,
            Total,56199.0,61216.0,65796.0,66328.0,68530.0,30460.0,33451.0,36129.0,35779.0,36922.0,6900.0,8022.0,8841.0,9242.0,9611.0,6907.0,7198.0,7525.0,8009.0,8230.0,8367.0,8734.0,9230.0,9144.0,9381.0,3565.0,3811.0,4071.0,4154.0,4386.0,
