Universidad,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Curso,Tipo_centro,Sexo,Dedicacion,Nivel
Mondragón Unibertsitatea,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Navarra,14.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Pontificia Comillas,36.0,10.0,3.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Pontificia de Salamanca,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Ramón Llull,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
San Jorge,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
San Pablo-CEU,23.0,6.0,19.0,55.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Vic-Central de Catalunya,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
Notas:,,,,,,2015-2016,Otras unidades,Mujeres,Tiempo Completo,doctorado
A Coruña,164.0,278.0,42.0,56.0,55.0,2017-2018,Centro propio,Hombres,Tiempo Completo,doctorado
Alcalá,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,doctorado
Alicante,221.0,30.0,172.0,38.0,68.0,2017-2018,Centro propio,Hombres,Tiempo Completo,doctorado
Almería,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,doctorado
Autónoma de Barcelona,475.0,155.0,317.0,623.0,537.0,2017-2018,Centro propio,Hombres,Tiempo Completo,doctorado
Autónoma de Madrid,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,doctorado
Barcelona,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,doctorado
Burgos,69.0,42.0,19.0,10.0,28.0,2017-2018,Centro propio,Hombres,Tiempo Completo,doctorado
Cádiz,0.0,0.0,0.0,0.0,0.0,2017-2018,Centro propio,Hombres,Tiempo Completo,doctorado
